State,Year,Quarter,District,No_of_Regusers,No_of_AppOpen
meghalaya,2020,2,north garo hills district,4318,75310
meghalaya,2020,2,south west khasi hills district,934,21859
meghalaya,2020,2,west garo hills district,29492,479767
meghalaya,2020,2,south garo hills district,3590,61880
meghalaya,2020,2,east jaintia hills district,9695,208825
meghalaya,2020,2,south west garo hills district,4266,89389
meghalaya,2020,2,east khasi hills district,57322,821770
meghalaya,2020,2,east garo hills district,4132,73258
meghalaya,2020,2,ribhoi district,13550,231180
meghalaya,2020,2,west jaintia hills district,5717,87706
meghalaya,2020,2,west khasi hills district,3195,54309
meghalaya,2020,3,north garo hills district,5242,81708
meghalaya,2020,3,south west khasi hills district,1169,22236
meghalaya,2020,3,west garo hills district,34201,541797
meghalaya,2020,3,south garo hills district,4370,72019
meghalaya,2020,3,east jaintia hills district,11084,213957
meghalaya,2020,3,south west garo hills district,5082,86439
meghalaya,2020,3,east khasi hills district,65268,878005
meghalaya,2020,3,east garo hills district,5002,81354
meghalaya,2020,3,ribhoi district,15427,256534
meghalaya,2020,3,west jaintia hills district,6997,95731
meghalaya,2020,3,west khasi hills district,3899,54754
meghalaya,2020,4,north garo hills district,5914,92098
meghalaya,2020,4,south west khasi hills district,1364,26083
meghalaya,2020,4,west garo hills district,37988,606770
meghalaya,2020,4,south garo hills district,5006,78371
meghalaya,2020,4,east jaintia hills district,12337,244254
meghalaya,2020,4,south west garo hills district,5772,90481
meghalaya,2020,4,east khasi hills district,72639,1022983
meghalaya,2020,4,east garo hills district,5777,92633
meghalaya,2020,4,ribhoi district,17198,324447
meghalaya,2020,4,west jaintia hills district,7968,105256
meghalaya,2020,4,west khasi hills district,4484,62541
meghalaya,2021,1,north garo hills district,6392,87414
meghalaya,2021,1,south west khasi hills district,1479,25803
meghalaya,2021,1,west garo hills district,40993,624759
meghalaya,2021,1,south garo hills district,5439,81330
meghalaya,2021,1,east jaintia hills district,13460,304466
meghalaya,2021,1,south west garo hills district,6276,81312
meghalaya,2021,1,east khasi hills district,78429,1079909
meghalaya,2021,1,east garo hills district,6237,84371
meghalaya,2021,1,ribhoi district,18641,402509
meghalaya,2021,1,west jaintia hills district,8665,98578
meghalaya,2021,1,west khasi hills district,4858,68575
meghalaya,2021,2,north garo hills district,6951,373360
meghalaya,2021,2,south west khasi hills district,1616,186895
meghalaya,2021,2,west garo hills district,44151,1729335
meghalaya,2021,2,south garo hills district,5922,423241
meghalaya,2021,2,east jaintia hills district,14530,750075
meghalaya,2021,2,south west garo hills district,6835,368339
meghalaya,2021,2,east khasi hills district,84124,1511469
meghalaya,2021,2,east garo hills district,6754,388838
meghalaya,2021,2,ribhoi district,20098,773596
meghalaya,2021,2,west jaintia hills district,9409,426978
meghalaya,2021,2,west khasi hills district,5296,358678
meghalaya,2021,3,north garo hills district,7584,514829
meghalaya,2021,3,south west khasi hills district,1802,266385
meghalaya,2021,3,west garo hills district,47869,2349399
meghalaya,2021,3,south garo hills district,6442,552240
meghalaya,2021,3,east jaintia hills district,15847,986899
meghalaya,2021,3,south west garo hills district,7531,527856
meghalaya,2021,3,east khasi hills district,90505,2044296
meghalaya,2021,3,east garo hills district,7389,652951
meghalaya,2021,3,ribhoi district,21875,973925
meghalaya,2021,3,west jaintia hills district,10337,591674
meghalaya,2021,3,west khasi hills district,5884,492502
meghalaya,2021,4,north garo hills district,8212,217752
meghalaya,2021,4,south west khasi hills district,1986,47102
meghalaya,2021,4,west garo hills district,51617,1414661
meghalaya,2021,4,south garo hills district,7005,153237
meghalaya,2021,4,east jaintia hills district,17115,672885
meghalaya,2021,4,south west garo hills district,8197,209067
meghalaya,2021,4,east khasi hills district,96942,1850500
meghalaya,2021,4,east garo hills district,8015,210176
meghalaya,2021,4,ribhoi district,23562,898927
meghalaya,2021,4,west jaintia hills district,11189,221642
meghalaya,2021,4,west khasi hills district,6428,152645
meghalaya,2022,1,north garo hills district,8795,1305426
meghalaya,2022,1,south west khasi hills district,2130,919454
meghalaya,2022,1,west garo hills district,55028,5145619
meghalaya,2022,1,south garo hills district,7508,1362153
meghalaya,2022,1,east jaintia hills district,18301,2282567
meghalaya,2022,1,south west garo hills district,8758,1573185
meghalaya,2022,1,east khasi hills district,102838,3580903
meghalaya,2022,1,east garo hills district,8578,1693715
meghalaya,2022,1,ribhoi district,25112,2465091
meghalaya,2022,1,west jaintia hills district,11952,1483829
meghalaya,2022,1,west khasi hills district,6839,1822164
meghalaya,2022,2,north garo hills district,9312,1591079
meghalaya,2022,2,south west khasi hills district,2239,967828
meghalaya,2022,2,west garo hills district,58178,5515309
meghalaya,2022,2,south garo hills district,7922,1552068
meghalaya,2022,2,east jaintia hills district,19314,2579775
meghalaya,2022,2,south west garo hills district,9266,2085169
meghalaya,2022,2,east khasi hills district,108330,4295381
meghalaya,2022,2,east garo hills district,9052,1824456
meghalaya,2022,2,ribhoi district,26541,3111276
meghalaya,2022,2,west jaintia hills district,12593,1661994
meghalaya,2022,2,west khasi hills district,7196,2274657
meghalaya,2022,3,north garo hills district,9773,1455727
meghalaya,2022,3,south west khasi hills district,2308,1476090
meghalaya,2022,3,west garo hills district,61273,6088916
meghalaya,2022,3,south garo hills district,8265,1884547
meghalaya,2022,3,east jaintia hills district,20320,2781426
meghalaya,2022,3,south west garo hills district,9735,1989507
meghalaya,2022,3,east khasi hills district,113816,5964535
meghalaya,2022,3,east garo hills district,9484,2483744
meghalaya,2022,3,ribhoi district,27844,4219195
meghalaya,2022,3,west jaintia hills district,13176,1931694
meghalaya,2022,3,west khasi hills district,7493,2320754
meghalaya,2022,4,north garo hills district,10145,337500
meghalaya,2022,4,south west khasi hills district,2366,71535
meghalaya,2022,4,west garo hills district,63792,2577134
meghalaya,2022,4,south garo hills district,8553,345912
meghalaya,2022,4,east jaintia hills district,21201,1128114
meghalaya,2022,4,south west garo hills district,10062,354549
meghalaya,2022,4,east khasi hills district,118978,2783731
meghalaya,2022,4,east garo hills district,9846,353379
meghalaya,2022,4,ribhoi district,29041,1539014
meghalaya,2022,4,west jaintia hills district,13633,372211
meghalaya,2022,4,west khasi hills district,7705,242845
mizoram,2018,1,serchhip district,299,0
mizoram,2018,1,aizawl district,4550,0
mizoram,2018,1,lunglei district,879,0
mizoram,2018,1,mamit district,316,0
mizoram,2018,1,lawngtlai district,474,0
mizoram,2018,1,kolasib district,486,0
mizoram,2018,1,champhai district,358,0
mizoram,2018,1,saiha district,231,0
mizoram,2018,2,serchhip district,440,0
mizoram,2018,2,aizawl district,6211,0
mizoram,2018,2,lunglei district,1241,0
mizoram,2018,2,mamit district,435,0
mizoram,2018,2,lawngtlai district,607,0
mizoram,2018,2,kolasib district,692,0
mizoram,2018,2,champhai district,501,0
mizoram,2018,2,saiha district,295,0
mizoram,2018,3,serchhip district,633,0
mizoram,2018,3,aizawl district,8460,0
mizoram,2018,3,lunglei district,1751,0
mizoram,2018,3,mamit district,599,0
mizoram,2018,3,lawngtlai district,922,0
mizoram,2018,3,kolasib district,1012,0
mizoram,2018,3,champhai district,729,0
mizoram,2018,3,saiha district,396,0
mizoram,2018,4,serchhip district,857,0
mizoram,2018,4,aizawl district,11131,0
mizoram,2018,4,lunglei district,2391,0
mizoram,2018,4,mamit district,835,0
mizoram,2018,4,lawngtlai district,1254,0
mizoram,2018,4,kolasib district,1393,0
mizoram,2018,4,champhai district,1001,0
mizoram,2018,4,saiha district,503,0
mizoram,2019,1,serchhip district,1047,0
mizoram,2019,1,aizawl district,13422,0
mizoram,2019,1,lunglei district,2910,0
mizoram,2019,1,mamit district,1096,0
mizoram,2019,1,lawngtlai district,1648,0
mizoram,2019,1,kolasib district,1730,0
mizoram,2019,1,champhai district,1179,0
mizoram,2019,1,saiha district,638,0
mizoram,2019,2,serchhip district,1295,6610
mizoram,2019,2,aizawl district,15934,70288
mizoram,2019,2,lunglei district,3575,18099
mizoram,2019,2,mamit district,1428,8927
mizoram,2019,2,lawngtlai district,2133,10945
mizoram,2019,2,kolasib district,2120,10299
mizoram,2019,2,champhai district,1429,4109
mizoram,2019,2,saiha district,782,3748
mizoram,2019,3,serchhip district,1512,24464
mizoram,2019,3,aizawl district,18992,240545
mizoram,2019,3,lunglei district,4197,61478
mizoram,2019,3,mamit district,1655,30424
mizoram,2019,3,lawngtlai district,2647,34294
mizoram,2019,3,kolasib district,2497,35460
mizoram,2019,3,champhai district,1733,16362
mizoram,2019,3,saiha district,901,14807
mizoram,2019,4,serchhip district,1735,27104
mizoram,2019,4,aizawl district,21865,272225
mizoram,2019,4,lunglei district,4926,69976
mizoram,2019,4,mamit district,1996,38555
mizoram,2019,4,lawngtlai district,3255,40784
mizoram,2019,4,kolasib district,2929,45961
mizoram,2019,4,champhai district,2067,21506
mizoram,2019,4,saiha district,1036,13057
mizoram,2020,1,serchhip district,1992,32938
mizoram,2020,1,aizawl district,25253,311082
mizoram,2020,1,lunglei district,5778,88472
mizoram,2020,1,mamit district,2379,47970
mizoram,2020,1,lawngtlai district,3996,63102
mizoram,2020,1,kolasib district,3360,54171
mizoram,2020,1,champhai district,2448,27677
mizoram,2020,1,saiha district,1293,19271
mizoram,2020,2,serchhip district,2379,36361
mizoram,2020,2,aizawl district,29637,335207
mizoram,2020,2,lunglei district,7006,108200
mizoram,2020,2,mamit district,2911,57414
mizoram,2020,2,lawngtlai district,4977,86175
mizoram,2020,2,kolasib district,4022,58398
mizoram,2020,2,champhai district,3052,33178
mizoram,2020,2,saiha district,1590,24375
mizoram,2020,3,serchhip district,2871,42356
mizoram,2020,3,aizawl district,36225,447023
mizoram,2020,3,lunglei district,8442,125325
mizoram,2020,3,mamit district,3597,63884
mizoram,2020,3,lawngtlai district,6412,113452
mizoram,2020,3,kolasib district,4923,62203
mizoram,2020,3,champhai district,3883,43126
mizoram,2020,3,saiha district,1962,27496
mizoram,2020,4,serchhip district,3313,52819
mizoram,2020,4,aizawl district,41500,529828
mizoram,2020,4,lunglei district,9794,152987
mizoram,2020,4,mamit district,4083,71430
mizoram,2020,4,lawngtlai district,7618,129218
mizoram,2020,4,kolasib district,5599,74081
mizoram,2020,4,champhai district,4550,52622
mizoram,2020,4,saiha district,2274,33197
mizoram,2021,1,serchhip district,3582,54129
mizoram,2021,1,aizawl district,45103,567367
mizoram,2021,1,lunglei district,10638,166946
mizoram,2021,1,mamit district,4467,79255
mizoram,2021,1,lawngtlai district,8386,137614
mizoram,2021,1,kolasib district,6120,96924
mizoram,2021,1,champhai district,4968,55350
mizoram,2021,1,saiha district,2486,35629
mizoram,2021,2,serchhip district,3884,303117
mizoram,2021,2,aizawl district,48525,956557
mizoram,2021,2,lunglei district,11491,780417
mizoram,2021,2,mamit district,4882,453423
mizoram,2021,2,lawngtlai district,9096,550626
mizoram,2021,2,kolasib district,6624,510345
mizoram,2021,2,champhai district,5366,249755
mizoram,2021,2,saiha district,2684,210357
mizoram,2021,3,serchhip district,4255,387777
mizoram,2021,3,aizawl district,52313,1288111
mizoram,2021,3,lunglei district,12614,970616
mizoram,2021,3,mamit district,5392,624924
mizoram,2021,3,lawngtlai district,9954,684849
mizoram,2021,3,kolasib district,7229,736071
mizoram,2021,3,champhai district,5935,454912
mizoram,2021,3,saiha district,2955,238458
mizoram,2021,4,serchhip district,4614,99728
mizoram,2021,4,aizawl district,56005,896356
mizoram,2021,4,lunglei district,13668,295869
mizoram,2021,4,mamit district,5887,175533
mizoram,2021,4,lawngtlai district,10738,256494
mizoram,2021,4,kolasib district,7850,185446
mizoram,2021,4,champhai district,6447,126351
mizoram,2021,4,saiha district,3196,58341
mizoram,2022,1,serchhip district,4906,920558
mizoram,2022,1,aizawl district,59433,2197478
mizoram,2022,1,lunglei district,14538,3219546
mizoram,2022,1,mamit district,6299,1986920
mizoram,2022,1,lawngtlai district,11459,1752134
mizoram,2022,1,kolasib district,8375,2007152
mizoram,2022,1,champhai district,6875,2016621
mizoram,2022,1,saiha district,3410,786248
mizoram,2022,2,serchhip district,5170,894658
mizoram,2022,2,aizawl district,62605,2748818
mizoram,2022,2,lunglei district,15302,2951387
mizoram,2022,2,mamit district,6641,2413372
mizoram,2022,2,lawngtlai district,12114,2270215
mizoram,2022,2,kolasib district,8872,2351887
mizoram,2022,2,champhai district,7233,2153488
mizoram,2022,2,saiha district,3598,862725
mizoram,2022,3,serchhip district,5390,730041
mizoram,2022,3,aizawl district,65940,2195876
mizoram,2022,3,lunglei district,16062,2569119
mizoram,2022,3,mamit district,6931,2217320
mizoram,2022,3,lawngtlai district,12771,2317141
mizoram,2022,3,kolasib district,9300,2635671
mizoram,2022,3,champhai district,7576,1760032
mizoram,2022,3,saiha district,3765,1131963
mizoram,2022,4,serchhip district,5551,119776
mizoram,2022,4,aizawl district,68925,1314560
mizoram,2022,4,lunglei district,16676,464686
mizoram,2022,4,mamit district,7086,285294
mizoram,2022,4,lawngtlai district,13303,425324
mizoram,2022,4,kolasib district,9602,271438
mizoram,2022,4,champhai district,7814,170238
mizoram,2022,4,saiha district,3913,93235
nagaland,2018,1,mon district,525,0
nagaland,2018,1,phek district,487,0
nagaland,2018,1,longleng district,121,0
nagaland,2018,1,mokokchung district,1043,0
nagaland,2018,1,kiphire district,168,0
nagaland,2018,1,kohima district,3036,0
nagaland,2018,1,tuensang district,377,0
nagaland,2018,1,peren district,218,0
nagaland,2018,1,dimapur district,8249,0
nagaland,2018,1,zunheboto district,385,0
nagaland,2018,1,wokha district,465,0
nagaland,2018,2,mon district,892,0
nagaland,2018,2,phek district,736,0
nagaland,2018,2,longleng district,198,0
nagaland,2018,2,mokokchung district,1616,0
nagaland,2018,2,kiphire district,258,0
nagaland,2018,2,kohima district,4395,0
nagaland,2018,2,tuensang district,594,0
nagaland,2018,2,peren district,358,0
nagaland,2018,2,dimapur district,12093,0
nagaland,2018,2,zunheboto district,593,0
nagaland,2018,2,wokha district,703,0
nagaland,2018,3,mon district,1287,0
nagaland,2018,3,phek district,1083,0
nagaland,2018,3,longleng district,307,0
nagaland,2018,3,mokokchung district,2313,0
nagaland,2018,3,kiphire district,465,0
nagaland,2018,3,kohima district,6298,0
nagaland,2018,3,tuensang district,934,0
nagaland,2018,3,peren district,526,0
nagaland,2018,3,dimapur district,17039,0
nagaland,2018,3,zunheboto district,821,0
nagaland,2018,3,wokha district,1017,0
nagaland,2018,4,mon district,1884,0
nagaland,2018,4,phek district,1419,0
nagaland,2018,4,longleng district,400,0
nagaland,2018,4,mokokchung district,2986,0
nagaland,2018,4,kiphire district,661,0
nagaland,2018,4,kohima district,8583,0
nagaland,2018,4,tuensang district,1261,0
nagaland,2018,4,peren district,710,0
nagaland,2018,4,dimapur district,22603,0
nagaland,2018,4,zunheboto district,1099,0
nagaland,2018,4,wokha district,1391,0
nagaland,2019,1,mon district,2458,0
nagaland,2019,1,phek district,1727,0
nagaland,2019,1,longleng district,539,0
nagaland,2019,1,mokokchung district,3721,0
nagaland,2019,1,kiphire district,862,0
nagaland,2019,1,kohima district,10747,0
nagaland,2019,1,tuensang district,1678,0
nagaland,2019,1,peren district,884,0
nagaland,2019,1,dimapur district,28091,0
nagaland,2019,1,zunheboto district,1374,0
nagaland,2019,1,wokha district,1830,0
nagaland,2019,2,mon district,3210,22791
nagaland,2019,2,phek district,2143,11191
nagaland,2019,2,longleng district,733,3307
nagaland,2019,2,mokokchung district,4655,22610
nagaland,2019,2,kiphire district,1084,6043
nagaland,2019,2,kohima district,13108,75589
nagaland,2019,2,tuensang district,2152,13264
nagaland,2019,2,peren district,1148,6185
nagaland,2019,2,dimapur district,34567,179762
nagaland,2019,2,zunheboto district,1680,8800
nagaland,2019,2,wokha district,2411,12955
nagaland,2019,3,mon district,3976,77622
nagaland,2019,3,phek district,2642,43090
nagaland,2019,3,longleng district,907,13903
nagaland,2019,3,mokokchung district,5593,80637
nagaland,2019,3,kiphire district,1251,21298
nagaland,2019,3,kohima district,15677,255404
nagaland,2019,3,tuensang district,2599,46041
nagaland,2019,3,peren district,1377,22149
nagaland,2019,3,dimapur district,41036,608938
nagaland,2019,3,zunheboto district,2058,32884
nagaland,2019,3,wokha district,2961,42056
nagaland,2019,4,mon district,4863,102617
nagaland,2019,4,phek district,3109,49838
nagaland,2019,4,longleng district,1135,17569
nagaland,2019,4,mokokchung district,6606,93364
nagaland,2019,4,kiphire district,1460,22231
nagaland,2019,4,kohima district,18232,285979
nagaland,2019,4,tuensang district,3081,54440
nagaland,2019,4,peren district,1623,25611
nagaland,2019,4,dimapur district,47000,706997
nagaland,2019,4,zunheboto district,2475,47324
nagaland,2019,4,wokha district,3540,48581
nagaland,2020,1,mon district,5747,119902
nagaland,2020,1,phek district,3637,59218
nagaland,2020,1,longleng district,1430,23944
nagaland,2020,1,mokokchung district,7626,104247
nagaland,2020,1,kiphire district,1814,33191
nagaland,2020,1,kohima district,20644,320294
nagaland,2020,1,tuensang district,3634,60792
nagaland,2020,1,peren district,1899,31361
nagaland,2020,1,dimapur district,53696,817430
nagaland,2020,1,zunheboto district,2898,51964
nagaland,2020,1,wokha district,4118,62177
nagaland,2020,2,mon district,7917,165317
nagaland,2020,2,phek district,4535,89799
nagaland,2020,2,longleng district,1881,37771
nagaland,2020,2,mokokchung district,9559,137981
nagaland,2020,2,kiphire district,2423,50366
nagaland,2020,2,kohima district,24236,394202
nagaland,2020,2,tuensang district,4779,89346
nagaland,2020,2,peren district,2534,49593
nagaland,2020,2,dimapur district,63398,943503
nagaland,2020,2,zunheboto district,3647,72550
nagaland,2020,2,wokha district,5296,88851
nagaland,2020,3,mon district,13591,278675
nagaland,2020,3,phek district,6151,116457
nagaland,2020,3,longleng district,2731,50281
nagaland,2020,3,mokokchung district,13155,195554
nagaland,2020,3,kiphire district,3306,59821
nagaland,2020,3,kohima district,31483,486239
nagaland,2020,3,tuensang district,7220,132509
nagaland,2020,3,peren district,3486,63251
nagaland,2020,3,dimapur district,79061,1243188
nagaland,2020,3,zunheboto district,4942,95585
nagaland,2020,3,wokha district,7980,147082
nagaland,2020,4,mon district,14932,210817
nagaland,2020,4,phek district,6888,116654
nagaland,2020,4,longleng district,3091,53696
nagaland,2020,4,mokokchung district,14511,193976
nagaland,2020,4,kiphire district,3629,49752
nagaland,2020,4,kohima district,34872,506507
nagaland,2020,4,tuensang district,8177,123923
nagaland,2020,4,peren district,3919,59618
nagaland,2020,4,dimapur district,87807,1378850
nagaland,2020,4,zunheboto district,5541,88612
nagaland,2020,4,wokha district,8821,139716
nagaland,2021,1,mon district,16154,207141
nagaland,2021,1,phek district,7536,115057
nagaland,2021,1,longleng district,3428,58910
nagaland,2021,1,mokokchung district,15634,194365
nagaland,2021,1,kiphire district,3904,50891
nagaland,2021,1,kohima district,37488,530009
nagaland,2021,1,tuensang district,8866,118643
nagaland,2021,1,peren district,4286,59784
nagaland,2021,1,dimapur district,94968,1432598
nagaland,2021,1,zunheboto district,6013,81959
nagaland,2021,1,wokha district,9531,131224
nagaland,2021,2,mon district,17389,824300
nagaland,2021,2,phek district,8134,698566
nagaland,2021,2,longleng district,3696,336996
nagaland,2021,2,mokokchung district,16857,575184
nagaland,2021,2,kiphire district,4224,248094
nagaland,2021,2,kohima district,40277,831177
nagaland,2021,2,tuensang district,9565,462581
nagaland,2021,2,peren district,4641,320237
nagaland,2021,2,dimapur district,101835,1414183
nagaland,2021,2,zunheboto district,6487,513142
nagaland,2021,2,wokha district,10232,492432
nagaland,2021,3,mon district,18911,1029901
nagaland,2021,3,phek district,8933,1030765
nagaland,2021,3,longleng district,4081,349624
nagaland,2021,3,mokokchung district,18340,801280
nagaland,2021,3,kiphire district,4626,279525
nagaland,2021,3,kohima district,43467,1074462
nagaland,2021,3,tuensang district,10433,675034
nagaland,2021,3,peren district,5089,434939
nagaland,2021,3,dimapur district,109644,1768717
nagaland,2021,3,zunheboto district,7147,583917
nagaland,2021,3,wokha district,11126,633827
nagaland,2021,4,mon district,20409,427566
nagaland,2021,4,phek district,9753,298676
nagaland,2021,4,longleng district,4457,120703
nagaland,2021,4,mokokchung district,19747,404932
nagaland,2021,4,kiphire district,5047,109617
nagaland,2021,4,kohima district,46621,1100010
nagaland,2021,4,tuensang district,11300,252598
nagaland,2021,4,peren district,5509,151217
nagaland,2021,4,dimapur district,117388,3026184
nagaland,2021,4,zunheboto district,7765,178142
nagaland,2021,4,wokha district,11994,313692
nagaland,2022,1,mon district,21773,3482625
nagaland,2022,1,phek district,10413,2897460
nagaland,2022,1,longleng district,4772,1154178
nagaland,2022,1,mokokchung district,21029,2505397
nagaland,2022,1,kiphire district,5368,1305848
nagaland,2022,1,kohima district,49523,1741671
nagaland,2022,1,tuensang district,12057,2545145
nagaland,2022,1,peren district,5881,1439905
nagaland,2022,1,dimapur district,124644,2509940
nagaland,2022,1,zunheboto district,8280,2214871
nagaland,2022,1,wokha district,12743,2409013
nagaland,2022,2,mon district,23037,3821181
nagaland,2022,2,phek district,11005,3435858
nagaland,2022,2,longleng district,5029,1179216
nagaland,2022,2,mokokchung district,22136,2652528
nagaland,2022,2,kiphire district,5687,1607993
nagaland,2022,2,kohima district,52343,2058108
nagaland,2022,2,tuensang district,12747,3216508
nagaland,2022,2,peren district,6212,1814906
nagaland,2022,2,dimapur district,131738,2935606
nagaland,2022,2,zunheboto district,8753,2960517
nagaland,2022,2,wokha district,13417,2970010
nagaland,2022,3,mon district,24237,4897532
nagaland,2022,3,phek district,11494,4023861
nagaland,2022,3,longleng district,5296,1261486
nagaland,2022,3,mokokchung district,23192,2846226
nagaland,2022,3,kiphire district,5963,1467835
nagaland,2022,3,kohima district,55046,2961074
nagaland,2022,3,tuensang district,13393,3246736
nagaland,2022,3,peren district,6534,1704388
nagaland,2022,3,dimapur district,139011,3144275
nagaland,2022,3,zunheboto district,9128,2539990
nagaland,2022,3,wokha district,14092,3135963
nagaland,2022,4,mon district,25340,944668
nagaland,2022,4,phek district,11847,510573
nagaland,2022,4,longleng district,5473,179637
nagaland,2022,4,mokokchung district,24045,629958
nagaland,2022,4,kiphire district,6211,205395
nagaland,2022,4,kohima district,57592,2012490
nagaland,2022,4,tuensang district,13900,447454
nagaland,2022,4,peren district,6750,258849
nagaland,2022,4,dimapur district,145923,5066680
nagaland,2022,4,zunheboto district,9422,269436
nagaland,2022,4,wokha district,14702,646442
odisha,2018,1,rayagada district,21756,0
odisha,2018,1,koraput district,25395,0
odisha,2018,1,malkangiri district,5396,0
odisha,2018,1,sambalpur district,47017,0
odisha,2018,1,kalahandi district,30605,0
odisha,2018,1,anugul district,56617,0
odisha,2018,1,ganjam district,126158,0
odisha,2018,1,jajapur district,81133,0
odisha,2018,1,bargarh district,32489,0
odisha,2018,1,dhenkanal district,46024,0
odisha,2018,1,bhadrak district,58050,0
odisha,2018,1,nuapada district,8252,0
odisha,2018,1,kendujhar district,58968,0
odisha,2018,1,mayurbhanj district,50472,0
odisha,2018,1,jharsuguda district,32514,0
odisha,2018,1,kandhamal district,10809,0
odisha,2018,1,deogarh district,5322,0
odisha,2018,1,sundargarh district,75201,0
odisha,2018,1,jagatsinghapur district,49264,0
odisha,2018,1,balangir district,35271,0
odisha,2018,1,baleshwar district,100919,0
odisha,2018,1,puri district,69923,0
odisha,2018,1,sonepur district,15900,0
odisha,2018,1,khordha district,308390,0
odisha,2018,1,boudh district,9077,0
odisha,2018,1,gajapati district,9743,0
odisha,2018,1,nayagarh district,33533,0
odisha,2018,1,nabarangpur district,9466,0
odisha,2018,1,kendrapara district,44379,0
odisha,2018,1,cuttack district,135972,0
odisha,2018,2,rayagada district,29995,0
odisha,2018,2,koraput district,34769,0
odisha,2018,2,malkangiri district,7742,0
odisha,2018,2,sambalpur district,63200,0
odisha,2018,2,kalahandi district,42458,0
odisha,2018,2,anugul district,76885,0
odisha,2018,2,ganjam district,169386,0
odisha,2018,2,jajapur district,114580,0
odisha,2018,2,bargarh district,45700,0
odisha,2018,2,dhenkanal district,64424,0
odisha,2018,2,bhadrak district,81249,0
odisha,2018,2,nuapada district,11826,0
odisha,2018,2,kendujhar district,83050,0
odisha,2018,2,mayurbhanj district,71366,0
odisha,2018,2,jharsuguda district,43568,0
odisha,2018,2,kandhamal district,15002,0
odisha,2018,2,deogarh district,7264,0
odisha,2018,2,sundargarh district,102838,0
odisha,2018,2,jagatsinghapur district,69081,0
odisha,2018,2,balangir district,49147,0
odisha,2018,2,baleshwar district,139968,0
odisha,2018,2,puri district,97920,0
odisha,2018,2,sonepur district,22064,0
odisha,2018,2,khordha district,406689,0
odisha,2018,2,boudh district,12134,0
odisha,2018,2,gajapati district,13397,0
odisha,2018,2,nayagarh district,46904,0
odisha,2018,2,nabarangpur district,13372,0
odisha,2018,2,kendrapara district,62080,0
odisha,2018,2,cuttack district,187723,0
odisha,2018,3,rayagada district,38980,0
odisha,2018,3,koraput district,45191,0
odisha,2018,3,malkangiri district,10882,0
odisha,2018,3,sambalpur district,79932,0
odisha,2018,3,kalahandi district,55262,0
odisha,2018,3,anugul district,97856,0
odisha,2018,3,ganjam district,217114,0
odisha,2018,3,jajapur district,149049,0
odisha,2018,3,bargarh district,60736,0
odisha,2018,3,dhenkanal district,81576,0
odisha,2018,3,bhadrak district,105030,0
odisha,2018,3,nuapada district,15932,0
odisha,2018,3,kendujhar district,108387,0
odisha,2018,3,mayurbhanj district,92892,0
odisha,2018,3,jharsuguda district,57490,0
odisha,2018,3,kandhamal district,20022,0
odisha,2018,3,deogarh district,9725,0
odisha,2018,3,sundargarh district,130288,0
odisha,2018,3,jagatsinghapur district,87768,0
odisha,2018,3,balangir district,64699,0
odisha,2018,3,baleshwar district,180370,0
odisha,2018,3,puri district,124859,0
odisha,2018,3,sonepur district,29402,0
odisha,2018,3,khordha district,499472,0
odisha,2018,3,boudh district,16146,0
odisha,2018,3,gajapati district,17730,0
odisha,2018,3,nayagarh district,61134,0
odisha,2018,3,nabarangpur district,18387,0
odisha,2018,3,kendrapara district,80340,0
odisha,2018,3,cuttack district,239067,0
odisha,2018,4,rayagada district,51281,0
odisha,2018,4,koraput district,58321,0
odisha,2018,4,malkangiri district,15080,0
odisha,2018,4,sambalpur district,101471,0
odisha,2018,4,kalahandi district,73404,0
odisha,2018,4,anugul district,124644,0
odisha,2018,4,ganjam district,279943,0
odisha,2018,4,jajapur district,201210,0
odisha,2018,4,bargarh district,79840,0
odisha,2018,4,dhenkanal district,104500,0
odisha,2018,4,bhadrak district,141565,0
odisha,2018,4,nuapada district,21322,0
odisha,2018,4,kendujhar district,142222,0
odisha,2018,4,mayurbhanj district,119705,0
odisha,2018,4,jharsuguda district,73264,0
odisha,2018,4,kandhamal district,26556,0
odisha,2018,4,deogarh district,12875,0
odisha,2018,4,sundargarh district,166328,0
odisha,2018,4,jagatsinghapur district,114945,0
odisha,2018,4,balangir district,85126,0
odisha,2018,4,baleshwar district,231913,0
odisha,2018,4,puri district,163528,0
odisha,2018,4,sonepur district,39160,0
odisha,2018,4,khordha district,626645,0
odisha,2018,4,boudh district,22366,0
odisha,2018,4,gajapati district,23328,0
odisha,2018,4,nayagarh district,81395,0
odisha,2018,4,nabarangpur district,24855,0
odisha,2018,4,kendrapara district,106782,0
odisha,2018,4,cuttack district,310337,0
odisha,2019,1,rayagada district,62764,0
odisha,2019,1,koraput district,70168,0
odisha,2019,1,malkangiri district,18853,0
odisha,2019,1,sambalpur district,120726,0
odisha,2019,1,kalahandi district,88614,0
odisha,2019,1,anugul district,150627,0
odisha,2019,1,ganjam district,332190,0
odisha,2019,1,jajapur district,236643,0
odisha,2019,1,bargarh district,95811,0
odisha,2019,1,dhenkanal district,123780,0
odisha,2019,1,bhadrak district,166600,0
odisha,2019,1,nuapada district,26448,0
odisha,2019,1,kendujhar district,167750,0
odisha,2019,1,mayurbhanj district,141789,0
odisha,2019,1,jharsuguda district,86772,0
odisha,2019,1,kandhamal district,32425,0
