State,Year,Quarter,District,No_of_Regusers,No_of_AppOpen
uttar-pradesh,2021,2,gautam buddha nagar district,2329954,43661492
uttar-pradesh,2021,2,basti district,296308,7659697
uttar-pradesh,2021,2,shamli district,175652,3959166
uttar-pradesh,2021,2,maharajganj district,301659,7372723
uttar-pradesh,2021,2,etawah district,230384,6030185
uttar-pradesh,2021,2,etah district,197793,5071736
uttar-pradesh,2021,2,banda district,141975,6108375
uttar-pradesh,2021,2,bijnor district,409603,10029061
uttar-pradesh,2021,2,hardoi district,294712,9801471
uttar-pradesh,2021,2,balrampur district,137921,6333564
uttar-pradesh,2021,2,amroha district,224885,5494608
uttar-pradesh,2021,2,pilibhit district,214517,4943692
uttar-pradesh,2021,2,mainpuri district,228922,6055383
uttar-pradesh,2021,2,kanpur dehat district,172133,6549291
uttar-pradesh,2021,2,jaunpur district,600794,11888060
uttar-pradesh,2021,2,kaushambi district,116606,3186728
uttar-pradesh,2021,2,hapur district,268188,5684275
uttar-pradesh,2021,2,hamirpur district,118257,4805630
uttar-pradesh,2021,2,meerut district,794314,13475900
uttar-pradesh,2021,2,mathura district,582001,12381150
uttar-pradesh,2021,2,chitrakoot district,83116,4440540
uttar-pradesh,2021,2,lalitpur district,142831,6864129
uttar-pradesh,2021,2,mau district,271232,4803900
uttar-pradesh,2021,2,mirzapur district,290357,8046766
uttar-pradesh,2021,2,bulandshahr district,496067,12104966
uttar-pradesh,2021,2,gonda district,281740,9800069
uttar-pradesh,2021,2,jhansi district,431055,11420469
uttar-pradesh,2021,2,chandauli district,278397,5433024
uttar-pradesh,2021,2,bhadohi district,211236,3495393
uttar-pradesh,2021,2,pratapgarh district,341118,8581043
uttar-pradesh,2021,2,saharanpur district,542340,12209126
uttar-pradesh,2021,2,bara banki district,268880,6420366
uttar-pradesh,2021,2,bareilly district,710778,11874626
uttar-pradesh,2021,2,sitapur district,366017,8689425
uttar-pradesh,2021,2,sultanpur district,278126,6392641
uttar-pradesh,2021,2,agra district,1044788,17308775
uttar-pradesh,2021,2,fatehpur district,208520,6732727
uttar-pradesh,2021,2,rae bareli district,243531,6339664
uttar-pradesh,2021,2,firozabad district,380885,7080319
uttar-pradesh,2021,2,kheri district,410053,9353171
uttar-pradesh,2021,2,gorakhpur district,835887,15232883
uttar-pradesh,2021,2,unnao district,271165,7660427
uttar-pradesh,2021,2,prayagraj district,1225800,19820485
uttar-pradesh,2021,2,sonbhadra district,252013,10775729
uttar-pradesh,2021,2,ghazipur district,476105,9031373
uttar-pradesh,2021,2,farrukhabad district,213759,4862316
uttar-pradesh,2021,2,kannauj district,182579,4509174
uttar-pradesh,2021,2,azamgarh district,538771,10182944
uttar-pradesh,2021,2,ayodhya district,344791,6610650
uttar-pradesh,2021,2,deoria district,455328,9609305
uttar-pradesh,2021,2,ghaziabad district,1895314,30235059
uttar-pradesh,2021,3,amethi district,245887,6905900
uttar-pradesh,2021,3,siddharthnagar district,249111,11183058
uttar-pradesh,2021,3,auraiya district,189321,5320993
uttar-pradesh,2021,3,sambhal district,203883,5614377
uttar-pradesh,2021,3,kanpur nagar district,1263050,21015827
uttar-pradesh,2021,3,aligarh district,681857,15510684
uttar-pradesh,2021,3,mahoba district,101383,4903489
uttar-pradesh,2021,3,lucknow district,2076033,36855345
uttar-pradesh,2021,3,sant kabeer nagar district,191948,4523934
uttar-pradesh,2021,3,hathras district,230320,5324600
uttar-pradesh,2021,3,budaun district,269703,8540101
uttar-pradesh,2021,3,moradabad district,462980,9348367
uttar-pradesh,2021,3,kushinagar district,508938,12748095
uttar-pradesh,2021,3,baghpat district,240441,5974261
uttar-pradesh,2021,3,shahjahanpur district,311858,8695760
uttar-pradesh,2021,3,muzaffarnagar district,448096,10778049
uttar-pradesh,2021,3,ambedkar nagar district,302263,5779645
uttar-pradesh,2021,3,bahraich district,227941,9175141
uttar-pradesh,2021,3,jalaun district,229155,9250768
uttar-pradesh,2021,3,rampur district,246230,6259927
uttar-pradesh,2021,3,ballia district,478324,10195059
uttar-pradesh,2021,3,shravasti district,58737,3093685
uttar-pradesh,2021,3,kasganj district,158052,4070828
uttar-pradesh,2021,3,varanasi district,1239725,16646427
uttar-pradesh,2021,3,gautam buddha nagar district,2496114,59498265
uttar-pradesh,2021,3,basti district,320806,8006486
uttar-pradesh,2021,3,shamli district,189790,4953024
uttar-pradesh,2021,3,maharajganj district,327438,8011647
uttar-pradesh,2021,3,etawah district,249385,6874524
uttar-pradesh,2021,3,etah district,214709,5804468
uttar-pradesh,2021,3,banda district,154581,6510003
uttar-pradesh,2021,3,bijnor district,442548,11881536
uttar-pradesh,2021,3,hardoi district,320513,10250565
uttar-pradesh,2021,3,balrampur district,149985,6914313
uttar-pradesh,2021,3,amroha district,243686,6888875
uttar-pradesh,2021,3,pilibhit district,232754,5804732
uttar-pradesh,2021,3,mainpuri district,248343,6809626
uttar-pradesh,2021,3,kanpur dehat district,187084,7063852
uttar-pradesh,2021,3,jaunpur district,650143,11804378
uttar-pradesh,2021,3,kaushambi district,126637,3417066
uttar-pradesh,2021,3,hapur district,288709,7010219
uttar-pradesh,2021,3,hamirpur district,128958,5101770
uttar-pradesh,2021,3,meerut district,853246,16882676
uttar-pradesh,2021,3,mathura district,628528,16338028
uttar-pradesh,2021,3,chitrakoot district,90553,5012442
uttar-pradesh,2021,3,lalitpur district,155272,9660592
uttar-pradesh,2021,3,mau district,292936,5134182
uttar-pradesh,2021,3,mirzapur district,314144,9607253
uttar-pradesh,2021,3,bulandshahr district,535699,13891421
uttar-pradesh,2021,3,gonda district,305366,10059982
uttar-pradesh,2021,3,jhansi district,464351,14635892
uttar-pradesh,2021,3,chandauli district,300595,6385377
uttar-pradesh,2021,3,bhadohi district,228222,3509928
uttar-pradesh,2021,3,pratapgarh district,369954,8547127
uttar-pradesh,2021,3,saharanpur district,584344,15615472
uttar-pradesh,2021,3,bara banki district,291376,7899459
uttar-pradesh,2021,3,bareilly district,766809,14710344
uttar-pradesh,2021,3,sitapur district,397389,10389341
uttar-pradesh,2021,3,sultanpur district,301325,6580185
uttar-pradesh,2021,3,agra district,1124720,22075229
uttar-pradesh,2021,3,fatehpur district,226873,6986051
uttar-pradesh,2021,3,rae bareli district,263613,7082526
uttar-pradesh,2021,3,firozabad district,412441,8589707
uttar-pradesh,2021,3,kheri district,446308,11738602
uttar-pradesh,2021,3,gorakhpur district,900171,17952101
uttar-pradesh,2021,3,unnao district,293971,8496052
uttar-pradesh,2021,3,prayagraj district,1320432,24937997
uttar-pradesh,2021,3,sonbhadra district,272567,14054719
uttar-pradesh,2021,3,ghazipur district,514893,9646966
uttar-pradesh,2021,3,farrukhabad district,231446,5518604
uttar-pradesh,2021,3,kannauj district,198231,5167434
uttar-pradesh,2021,3,azamgarh district,582049,10763238
uttar-pradesh,2021,3,ayodhya district,372839,7623642
uttar-pradesh,2021,3,deoria district,492048,10011054
uttar-pradesh,2021,3,ghaziabad district,2031752,38066824
uttar-pradesh,2021,4,amethi district,264472,8500647
uttar-pradesh,2021,4,siddharthnagar district,268126,11309904
uttar-pradesh,2021,4,auraiya district,203721,6612405
uttar-pradesh,2021,4,sambhal district,219722,7592584
uttar-pradesh,2021,4,kanpur nagar district,1349794,34981290
uttar-pradesh,2021,4,aligarh district,731096,24940432
uttar-pradesh,2021,4,mahoba district,109417,3370832
uttar-pradesh,2021,4,lucknow district,2215886,65244080
uttar-pradesh,2021,4,sant kabeer nagar district,206542,7429877
uttar-pradesh,2021,4,hathras district,247776,8866006
uttar-pradesh,2021,4,budaun district,290309,8646437
uttar-pradesh,2021,4,moradabad district,496358,17198569
uttar-pradesh,2021,4,kushinagar district,547287,21821978
uttar-pradesh,2021,4,baghpat district,257605,9123679
uttar-pradesh,2021,4,shahjahanpur district,336128,8051413
uttar-pradesh,2021,4,muzaffarnagar district,480240,17005233
uttar-pradesh,2021,4,ambedkar nagar district,325090,9477709
uttar-pradesh,2021,4,bahraich district,245502,7041508
uttar-pradesh,2021,4,jalaun district,246646,8392204
uttar-pradesh,2021,4,rampur district,264569,9524556
uttar-pradesh,2021,4,ballia district,513629,17655465
uttar-pradesh,2021,4,shravasti district,63555,1885163
uttar-pradesh,2021,4,kasganj district,170176,5438009
uttar-pradesh,2021,4,varanasi district,1325315,32947562
uttar-pradesh,2021,4,gautam buddha nagar district,2664034,106538115
uttar-pradesh,2021,4,basti district,344852,12800452
uttar-pradesh,2021,4,shamli district,203726,7458420
uttar-pradesh,2021,4,maharajganj district,352595,11595475
uttar-pradesh,2021,4,etawah district,267952,9316048
uttar-pradesh,2021,4,etah district,230890,8015063
uttar-pradesh,2021,4,banda district,166922,4693219
uttar-pradesh,2021,4,bijnor district,474546,15441993
uttar-pradesh,2021,4,hardoi district,345246,8663687
uttar-pradesh,2021,4,balrampur district,161496,6228027
uttar-pradesh,2021,4,amroha district,262094,10321695
uttar-pradesh,2021,4,pilibhit district,250203,5578152
uttar-pradesh,2021,4,mainpuri district,267320,8714957
uttar-pradesh,2021,4,kanpur dehat district,201743,7039315
uttar-pradesh,2021,4,jaunpur district,698280,21320725
uttar-pradesh,2021,4,kaushambi district,136353,4006717
uttar-pradesh,2021,4,hapur district,309228,12341714
uttar-pradesh,2021,4,hamirpur district,139019,4101855
uttar-pradesh,2021,4,meerut district,911852,30248838
uttar-pradesh,2021,4,mathura district,674711,25736842
uttar-pradesh,2021,4,chitrakoot district,97682,3192625
uttar-pradesh,2021,4,lalitpur district,167240,6745680
uttar-pradesh,2021,4,mau district,314297,9333091
uttar-pradesh,2021,4,mirzapur district,337415,9532883
uttar-pradesh,2021,4,bulandshahr district,574654,22212038
uttar-pradesh,2021,4,gonda district,328086,11353784
uttar-pradesh,2021,4,jhansi district,497457,18602474
uttar-pradesh,2021,4,chandauli district,322309,9366865
uttar-pradesh,2021,4,bhadohi district,245007,6929593
uttar-pradesh,2021,4,pratapgarh district,397596,12726654
uttar-pradesh,2021,4,saharanpur district,625876,24467930
uttar-pradesh,2021,4,bara banki district,313465,9099109
uttar-pradesh,2021,4,bareilly district,821986,24139955
uttar-pradesh,2021,4,sitapur district,428710,8366576
uttar-pradesh,2021,4,sultanpur district,323438,10055921
uttar-pradesh,2021,4,agra district,1204274,39065873
uttar-pradesh,2021,4,fatehpur district,244390,6639155
uttar-pradesh,2021,4,rae bareli district,282965,8007627
uttar-pradesh,2021,4,firozabad district,443735,13720711
uttar-pradesh,2021,4,kheri district,480851,8802799
uttar-pradesh,2021,4,gorakhpur district,964667,31482311
uttar-pradesh,2021,4,unnao district,316042,8231448
uttar-pradesh,2021,4,prayagraj district,1414447,41302994
uttar-pradesh,2021,4,sonbhadra district,292843,11574122
uttar-pradesh,2021,4,ghazipur district,552224,16930341
uttar-pradesh,2021,4,farrukhabad district,248877,7866758
uttar-pradesh,2021,4,kannauj district,213494,6740457
uttar-pradesh,2021,4,azamgarh district,624474,18834505
uttar-pradesh,2021,4,ayodhya district,399921,12244724
uttar-pradesh,2021,4,deoria district,528101,19515010
uttar-pradesh,2021,4,ghaziabad district,2169109,65620930
uttar-pradesh,2022,1,amethi district,283285,9549931
uttar-pradesh,2022,1,siddharthnagar district,286990,14567713
uttar-pradesh,2022,1,auraiya district,217723,6484845
uttar-pradesh,2022,1,sambhal district,234926,9010245
uttar-pradesh,2022,1,kanpur nagar district,1431918,13306305
uttar-pradesh,2022,1,aligarh district,778769,14195820
uttar-pradesh,2022,1,mahoba district,117391,9999168
uttar-pradesh,2022,1,lucknow district,2348173,14805785
uttar-pradesh,2022,1,sant kabeer nagar district,220942,4404751
uttar-pradesh,2022,1,hathras district,264734,6198459
uttar-pradesh,2022,1,budaun district,310467,16137282
uttar-pradesh,2022,1,moradabad district,528459,9111603
uttar-pradesh,2022,1,kushinagar district,585162,8878928
uttar-pradesh,2022,1,baghpat district,273913,5613358
uttar-pradesh,2022,1,shahjahanpur district,359822,13459500
uttar-pradesh,2022,1,muzaffarnagar district,510605,11229672
uttar-pradesh,2022,1,ambedkar nagar district,347805,5487699
uttar-pradesh,2022,1,bahraich district,262870,16665248
uttar-pradesh,2022,1,jalaun district,263573,18544106
uttar-pradesh,2022,1,rampur district,282442,9425506
uttar-pradesh,2022,1,ballia district,548285,7592872
uttar-pradesh,2022,1,shravasti district,68179,5565051
uttar-pradesh,2022,1,kasganj district,182189,5935949
uttar-pradesh,2022,1,varanasi district,1406056,6339961
uttar-pradesh,2022,1,gautam buddha nagar district,2822463,19662404
uttar-pradesh,2022,1,basti district,368788,7282881
uttar-pradesh,2022,1,shamli district,217044,5332538
uttar-pradesh,2022,1,maharajganj district,377520,8411383
uttar-pradesh,2022,1,etawah district,286261,9145306
uttar-pradesh,2022,1,etah district,246989,8342531
uttar-pradesh,2022,1,banda district,178647,13262034
uttar-pradesh,2022,1,bijnor district,505579,16218600
uttar-pradesh,2022,1,hardoi district,369745,19000597
uttar-pradesh,2022,1,balrampur district,172888,12140005
uttar-pradesh,2022,1,amroha district,279928,8078212
uttar-pradesh,2022,1,pilibhit district,267438,9254610
uttar-pradesh,2022,1,mainpuri district,285752,8884695
uttar-pradesh,2022,1,kanpur dehat district,215966,13183908
uttar-pradesh,2022,1,jaunpur district,745837,8170651
